Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Brazil,BRA,1997,YR1997,..,68.817801,93.354139,99.056926,3.94084953998611,286355,92.9778363670604,2405843,43.7251083730704,307982,5502200.199192
Brazil,BRA,1998,YR1998,..,72.778247,94.193812,99.137016,4.0217825990965,298979,92.9233437348484,2491751,43.8615767414815,321748,5680942.604244
Brazil,BRA,1999,YR1999,..,75.436121,94.76296,99.186252,4.09373895058941,301368,90.0369268275195,2559594,44.0972758704006,334716,5804426.576196
Brazil,BRA,2000,YR2000,86.91,74.9041610654805,94.4665679931641,98.9981689453125,3.94784572124322,312249,89.4927058553782,2504059,42.7987739937361,348910,5850772.735608
Brazil,BRA,2001,YR2001,87.89,77.62953,96.016528,99.215119,3.9512174689924,276891,84.2874450546105,2428426,41.4778788144924,328508,5854749.73506
Brazil,BRA,2002,YR2002,88.8,80.181746,96.652996,99.426994,3.93562057715601,296372,85.7381730026528,2623885,43.0245620884508,345671,6098574.564468
Brazil,BRA,2003,YR2003,89.55,81.921384,96.980098,99.504184,3.95521090396004,317571,87.1636031278562,2806094,45.3086613817766,364339,6193283.832324
Brazil,BRA,2004,YR2004,90.3,81.507163,96.765107,99.585301,3.94773867724998,333334,86.0321122820058,2971462,45.3899609661063,387453,6546518.077464
Brazil,BRA,2005,YR2005,91.04,83.469462,97.093513,99.634816,3.92159460955982,351141,87.1246275118911,3086133,46.3479405794744,403033,6658619.479992
Brazil,BRA,2006,YR2006,91.67,86.071277,97.594314,99.708742,3.90332986778856,363765,86.7476516501048,3215481,46.9050600436371,419337,6855296.628996
Brazil,BRA,2007,YR2007,92.17,89.070615,98.125382,99.781449,3.8886675500881,392685,88.2146796451509,3454741,47.4176251865182,445147,7285773.984696
Brazil,BRA,2008,YR2008,92.73,91.398435,98.526625,99.821747,3.90636388185477,390210,84.2664236492775,3579069,47.2633074097046,463067,7572616.467516
Brazil,BRA,2009,YR2009,93.27,93.332725,98.856938,99.85168,3.78343893790351,414828,88.9957757749597,3637590,49.1137230363207,466121,7406463.560724
Brazil,BRA,2010,YR2010,93.66,93.7626835537736,98.883056640625,99.8341522216797,3.89055964375559,436961,84.7242338752678,3819419,47.0066615686336,515745,8125271.764776
Brazil,BRA,2011,YR2011,94.07,95.784948,99.328691,99.898571,3.80276505686312,463272,87.1209969967485,3838202,45.4685505272025,531757,8441443.493352
Brazil,BRA,2012,YR2012,94.48,97.022847,99.519494,99.927418,3.89295356881582,455629,82.4482831002635,3798796,43.6207952976118,552624,8708681.201436
Brazil,BRA,2013,YR2013,94.77,97.294009,99.575151,99.935013,3.93983205111742,437969,76.6892081191253,3772010,42.4478425401058,571088,8886223.125324
Brazil,BRA,2014,YR2014,95.1,97.839087,99.650247,99.945554,4.04384438186657,431660,73.0820738473312,3788991,41.8418787194096,590632,9055499.217444
Brazil,BRA,2015,YR2015,95.38,98.242607,99.710902,99.956197,4.13022139420731,430230,73.9669080481113,3887176,43.7903891971588,581652,8876778.83496
Brazil,BRA,2016,YR2016,95.59,100,100,100,..,..,..,..,..,..,..
Germany,DEU,1997,YR1997,..,100,100,100,5.08534798270389,23062,4.20830968721431,253959.5,2.82442182235482,548011,8991557.068068
Germany,DEU,1998,YR1998,..,100,100,100,4.9564622466845,24902,4.5081692690654,271827.8,3.04511890616193,552375,8926672.763088
Germany,DEU,1999,YR1999,..,100,100,100,4.74968849363069,28717,5.19722375553122,285706.9,3.26371214587689,552545,8754047.147232
Germany,DEU,2000,YR2000,100,100,100,100,4.63529428201804,35475,6.19853122329914,319660.1,3.70043759040219,572313,8638440.513876
Germany,DEU,2001,YR2001,100,100,100,100,4.69475690925934,37895,6.51244401824412,343660.7,3.89967279049467,581886,8812552.192524
Germany,DEU,2002,YR2002,100,100,100,100,4.58939121057672,44477,7.64270028215289,382631,4.41263678738536,581954,8671255.270632
Germany,DEU,2003,YR2003,100,100,100,100,4.59786268049527,45590,7.55297770223143,447123.8,5.05846742452957,603603,8839115.931276
Germany,DEU,2004,YR2004,100,100,100,100,4.5769511938077,56634,9.26747449292675,510485.3,5.82524443326874,611105,8763328.403604
Germany,DEU,2005,YR2005,100,100,100,100,4.51146599828359,62505,10.1502111075024,583527.7,6.76455100872253,615800,8626259.14488
Germany,DEU,2006,YR2006,100,100,100,100,4.471228450447,71638,11.3220131113963,683859.3,7.75322465619858,632732,8820320.967396
Germany,DEU,2007,YR2007,100,100,100,100,4.0991916760957,88320,13.9380080579109,775851.8,9.40658790331653,633663,8247962.045052
Germany,DEU,2008,YR2008,100,100,100,100,4.09940667751472,93249,14.6992338976639,734775.9,8.59224825671174,634380,8551613.94372
Germany,DEU,2009,YR2009,100,100,100,100,4.06809836556386,94858,16.0785536793646,781838.3,9.63006156970857,589966,8118725.870448
Germany,DEU,2010,YR2010,100,100,100,100,4.11533555707247,104809,16.7270736678142,889170.7,10.2935196369107,626583,8638160.040144
