Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.6529922485352,96.980094909668,96.7651062011719,97.0935134887695,97.5943145751953,98.1253814697266,98.5266265869141,98.8569412231445,98.5999984741211,99.3286895751953,99.5194931030273,99.5751495361328,99.6502456665039,99.7108993530273,99.6999969482422,99.8000030517578,99.6999969482422,99.8000030517578,100,..
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,30.4,28.4,26.5,24.8,23.2,21.8,20.6,19.5,18.6,17.9,17.2,16.7,16.3,15.9,16.7,15.4,15.2,14.9,14.7,..
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Germany,DEU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.1,5,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,4,4,3.9,3.9,3.9,3.8,3.7,3.7,..
Mozambique,MOZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,8.44392108917236,8.10000038146973,10.7705898284912,11.9319448471069,13.0951719284058,12.3999996185303,13.5712242126465,15,18.8027362823486,20.2000007629395,21.2326068878174,22.4201278686523,24.7999992370605,24,26.2465209960938,24.2999992370605,31.1000003814697,29.6744499206543,30.603832244873,..
Mozambique,MOZ,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,152.6,145,138.2,132,126.2,118.8,112.9,107.3,104.9,100.5,96.3,92.3,88.4,84,80.4,78,75.6,72.9,70.6,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9530563354492,98.9340133666992,98.9120788574219,98.8896102905273,98.869010925293,98.8529357910156,99.3000030517578,98.8451843261719,98.8589324951172,98.8880310058594,98.7646636962891,99.0022048950195,99.0870132446289,99.1866607666016,99.3502502441406,99.6354904174805,99.6978378295898,99.5,99.8041305541992,..
Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,37.8,36.5,35.1,33.6,32.1,30.7,29.5,28.4,27.4,26.7,26.2,25.8,25.5,25.2,24.8,24.3,23.8,23.3,22.7,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,26.3521175384521,27.4127769470215,28.4705505371094,29.5277862548828,30.5868949890137,37.5,38.4900016784668,33.802188873291,34.895637512207,34.5999984741211,37.1313209533691,38.2780303955078,32,42,41.8131294250488,43.0132598876953,45.2900009155273,45.6427993774414,46.8906097412109,..
Angola,AGO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,191.5,183.8,175.1,166.1,156.4,147,137.7,128.7,120.4,112.5,105.1,98.5,92.9,88.1,84.1,80.6,77.3,74.2,71.5,..
